"/Users/ganasene/Downloads/projet_xml_insyco/code/SUPprd.xml","B","C","D","E","F","I"
"jobN"," logfile"," fileValue"," realFilePath"," datasetValue"," realFilePathDataset","recordTypeRecord"
"Jx_REPART_05_CONVERT_CSV_XLS_IDE12","SUPprdJS_REPART_02_CONV_IDE12_CSV_XLSX_ZIP_FR_2log.txt","\(2)\(2)0\(1)\(3)file \(2)#PAR_PATH_RESULTAT_IDE12#OM-#PAR_NUM_REPART#-#PAR_NUM_COAD#.csv\(2)0","","NaN","NaN","CustomOutput"
"Jx_TRACO_05_RAP_OEUVCTX_INFOAD_KEYLIG","SUPprdJx_TRACO_05_RAP_OEUVCTX_INFOAD_KEYLIGlog.txt","NaN","NaN","#PAR_PATH_DATASET#DS_05_RAP_OEUVCTX_INFOAD_KEYLIG.ds","/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_05_RAP_OEUVCTX_INFOAD_KEYLIG.ds","CustomInput"
"Jx_TRACO_05_RAP_OEUVCTX_INFOAD_KEYLIG","SUPprdJx_TRACO_05_RAP_OEUVCTX_INFOAD_KEYLIGlog.txt","NaN","NaN","#PAR_PATH_DATASET#DS_02_EXTR_PENEF_KEYLIG.ds","/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_02_EXTR_PENEF_KEYLIG.ds","CustomOutput"
"Jx_TRACO_05_RAP_OEUVCTX_INFOAD_KEYLIG","SUPprdJx_TRACO_05_RAP_OEUVCTX_INFOAD_KEYLIGlog.txt","NaN","NaN","#PAR_PATH_DATASET#DS_04_RAP_OEUVCTX_INFOAD.ds","/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_04_RAP_OEUVCTX_INFOAD.ds","CustomOutput"
"Jx_TRACO_01_EXTR_PENEF_INFOAD_FILTRE","SUPprdJx_TRACO_01_EXTR_PENEF_INFOAD_FILTRElog.txt","NaN","NaN","#PAR_PATH_DATASET#DS_01_EXTR_PENEF_INFOAD_FILTRE.ds","/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_01_EXTR_PENEF_INFOAD_FILTRE.ds","CustomInput"
"Jx_TRACO_01_EXTR_PENEF_INFOAD_FILTRE","SUPprdJx_TRACO_01_EXTR_PENEF_INFOAD_FILTRElog.txt","NaN","NaN","#PAR_PATH_DATASET#DS_01_EXTR_PENEF_INFOAD.ds","/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_01_EXTR_PENEF_INFOAD.ds","CustomOutput"
"Jx_TRACO_01_EXTR_PENEF_INFOAD_FILTRE","SUPprdJx_TRACO_01_EXTR_PENEF_INFOAD_FILTRElog.txt","\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_RESULTAT#SF_01_EXTR_PENEF_INFOAD_FILTRE.csv\(2)0","/work/home/dsprd1/applications/sup/traco/datastage/resultats/SF_01_EXTR_PENEF_INFOAD_FILTRE.csv","NaN","NaN","CustomInput"
"Jx_TRACO_01_EXTR_PENEF_INFOAD","SUPprdJx_TRACO_01_EXTR_PENEF_INFOAD_FILTRElog.txt","NaN","NaN","#PAR_PATH_DATASET#DS_01_EXTR_PENEF_INFOAD.ds","/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_01_EXTR_PENEF_INFOAD.ds","CustomInput"
"Jx_TRACO_01_EXTR_PENEF_INFOAD","SUPprdJx_TRACO_01_EXTR_PENEF_INFOAD_FILTRElog.txt","\(2)\(2)0\(1)\(3)file \(2)#PAR_PATH_SOURCES##PAR_FIC_INFOAD#_#PAR_NUM_REPART#_INFO_AD.csv\(2)0","FF_PENEF_647_INFO_AD.csv/647_INFO_AD.csv","NaN","NaN","CustomOutput"
